Country,Year,CO2_in_t_unaltered,CO2_in_t
World,1869,521130720,521.13
World,1870,532536752,532.54
World,1871,566142960,566.14
World,1872,626371792,626.37
World,1873,665419040,665.42
World,1874,622997248,623.00
World,1875,675799152,675.80
World,1876,685552720,685.55
World,1877,699098528,699.10
World,1878,704381729,704.38
World,1879,754869509,754.87
World,1880,853707188,853.71
World,1881,882407475,882.41
World,1882,931924710,931.92
World,1883,991035684,991.04
World,1884,1002177745,1002.18
World,1885,1009674571,1009.67
World,1886,1025478884,1025.48
World,1887,1076761678,1076.76
World,1888,1192276070,1192.28
World,1889,1191804432,1191.80
World,1890,1298463581,1298.46
World,1891,1358879690,1358.88
World,1892,1370094534,1370.09
World,1893,1353675035,1353.68
World,1894,1400864597,1400.86
World,1895,1485281339,1485.28
World,1896,1533711001,1533.71
World,1897,1606310640,1606.31
World,1898,1694277167,1694.28
World,1899,1850905966,1850.91
World,1900,1952224654,1952.22
World,1901,2016760928,2016.76
World,1902,2067797613,2067.80
World,1903,2256077250,2256.08
World,1904,2281857535,2281.86
World,1905,2429631367,2429.63
World,1906,2551869513,2551.87
World,1907,2885281242,2885.28
World,1908,2776431591,2776.43
World,1909,2887083061,2887.08
World,1910,3027588864,3027.59
World,1911,3082462274,3082.46
World,1912,3228332151,3228.33
World,1913,3492411249,3492.41
World,1914,3168341359,3168.34
World,1915,3125088543,3125.09
World,1916,3373154069,3373.15
World,1917,3527725678,3527.73
World,1918,3479185579,3479.19
World,1919,3014874203,3014.87
World,1920,3507597636,3507.60
World,1921,3076038222,3076.04
World,1922,3226445037,3226.45
World,1923,3661080742,3661.08
World,1924,3672399351,3672.40
World,1925,3712867713,3712.87
World,1926,3645190242,3645.19
World,1927,3981432883,3981.43
World,1928,3962552527,3962.55
World,1929,4255150726,4255.15
World,1930,3923058343,3923.06
World,1931,3505272053,3505.27
World,1932,3159133411,3159.13
World,1933,3326453782,3326.45
World,1934,3617657544,3617.66
World,1935,3796088336,3796.09
World,1936,4170573685,4170.57
World,1937,4458901333,4458.90
World,1938,4195242758,4195.24
World,1939,4438143987,4438.14
World,1940,4849926545,4849.93
World,1941,4959186226,4959.19
World,1942,4939724859,4939.72
World,1943,5023250640,5023.25
World,1944,5105436673,5105.44
World,1945,4244738093,4244.74
World,1946,4633477283,4633.48
World,1947,5130185429,5130.19
World,1948,5401115478,5401.12
World,1949,5243102933,5243.10
World,1950,6003238189,6003.24
World,1951,6379755941,6379.76
World,1952,6465694232,6465.69
World,1953,6647727815,6647.73
World,1954,6789936494,6789.94
World,1955,7443207067,7443.21
World,1956,7924210548,7924.21
World,1957,8185523970,8185.52
World,1958,8417600054,8417.60
World,1959,8856188671,8856.19
World,1960,9386933671,9386.93
World,1961,9417462637,9417.46
World,1962,9750056664,9750.06
World,1963,10271524394,10271.52
World,1964,10828857574,10828.86
World,1965,11317232919,11317.23
World,1966,11865861396,11865.86
World,1967,12243045540,12243.05
World,1968,12909912521,12909.91
World,1969,13766570654,13766.57
World,1970,14897567094,14897.57
World,1971,15498266676,15498.27
World,1972,16221152268,16221.15
World,1973,17078792097,17078.79
World,1974,17009594414,17009.59
World,1975,17046497217,17046.50
World,1976,17983972847,17983.97
World,1977,18494530823,18494.53
World,1978,19067767178,19067.77
World,1979,19610017729,19610.02
World,1980,19492613515,19492.61
World,1981,19026910179,19026.91
World,1982,18875760275,18875.76
World,1983,18998031557,18998.03
World,1984,19656716874,19656.72
World,1985,20317483523,20317.48
World,1986,20619623658,20619.62
World,1987,21266194534,21266.19
World,1988,22101399490,22101.40
World,1989,22406832518,22406.83
World,1990,22749574360,22749.57
World,1991,23238102148,23238.10
World,1992,22569624280,22569.62
World,1993,22803495349,22803.50
World,1994,22964583359,22964.58
World,1995,23453944453,23453.94
World,1996,24154961206,24154.96
World,1997,24300550431,24300.55
World,1998,24206271270,24206.27
World,1999,24518962288,24518.96
World,2000,25234207250,25234.21
World,2001,25451054498,25451.05
World,2002,26039191477,26039.19
World,2003,27366723291,27366.72
World,2004,28627533033,28627.53
World,2005,29602777196,29602.78
World,2006,30583530081,30583.53
World,2007,31493741589,31493.74
World,2008,32069444008,32069.44
World,2009,31607042410,31607.04
World,2010,33343300453,33343.30
World,2011,34468451046,34468.45
World,2012,34974075146,34974.08
World,2013,35283025443,35283.03
World,2014,35534442952,35534.44
World,2015,35496406339,35496.41
World,2016,35452459298,35452.46
World,2017,35925737687,35925.74
World,2018,36646139785,36646.14
World,2019,36702502903,36702.50
World,2020,34807259099,34807.26
